标题：资金股票
营业部名称：中航信交易11-1
股东：上海鸣石投

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
203600000495	人民币	3617867.960	5060447.470	122482510.750	127542959.220	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
300776	帝尔激光	2400	2400	0	0	-22434.91	-8.171	252120.00	114.398	105.050	0899226926	深Ａ	2400	2400	
300759	康龙化成	3100	3100	0	0	2425.01	0.848	288362.00	92.238	93.020	0899226926	深Ａ	3100	3100	
300748	金力永磁	0	0	0	6000	-9738.87	0.000	0.00	0.000	42.480	0899226926	深Ａ	0	6000	
300729	乐歌股份	500	500	0	0	-69.65	-0.210	33145.00	66.429	66.290	0899226926	深Ａ	500	500	
300726	宏达电子	21700	0	21700	0	-20291.34	-2.190	906409.00	42.705	41.770	0899226926	深Ａ	21700	0	
300677	英科医疗	600	600	0	0	-9309.52	-9.536	88320.00	162.716	147.200	0899226926	深Ａ	600	600	
300671	富满电子	11800	11800	0	0	77421.68	14.038	628940.00	46.739	53.300	0899226926	深Ａ	11800	11800	
300648	星云股份	12500	12500	0	0	-22435.00	-5.471	387625.00	32.805	31.010	0899226926	深Ａ	12500	12500	
300601	康泰生物	9400	9400	0	0	-347014.96	-15.639	1871822.00	236.046	199.130	0899226926	深Ａ	9400	9400	
300599	雄塑科技	45800	45800	0	0	35102.17	4.960	742876.00	15.454	16.220	0899226926	深Ａ	45800	45800	
300579	数字认证	10925	10925	0	0	10097.93	1.618	634196.25	57.126	58.050	0899226926	深Ａ	10925	10925	
300558	贝达药业	12800	12800	0	0	-49194.03	-2.952	1617152.00	130.183	126.340	0899226926	深Ａ	12800	12800	
300541	先进数通	17300	17300	0	0	-18004.32	-5.047	338734.00	20.621	19.580	0899226926	深Ａ	17300	17300	
300523	辰安科技	11900	0	11900	0	-8792.18	-1.427	607138.00	51.759	51.020	0899226926	深Ａ	11900	0	
300502	新易盛	22700	22700	0	0	-81600.17	-5.228	1479359.00	68.765	65.170	0899226926	深Ａ	22700	22700	
300501	海顺新材	17900	17900	0	0	-23233.01	-4.943	446784.00	26.258	24.960	0899226926	深Ａ	17900	17900	
300492	华图山鼎	1400	1400	0	0	15319.27	24.071	78960.00	45.458	56.400	0899226926	深Ａ	1400	1400	
300455	康拓红外	133300	82700	50600	0	163012.03	7.107	2456719.00	17.207	18.430	0899226926	深Ａ	133300	82700	
300420	五洋停车	75300	75300	0	0	-29110.95	-4.978	555714.00	7.767	7.380	0899226926	深Ａ	75300	75300	
300401	花园生物	53000	53000	0	0	-5258.59	-0.555	942870.00	17.889	17.790	0899226926	深Ａ	53000	53000	
300395	菲利华	13600	13600	0	0	8735.08	1.355	653480.00	47.408	48.050	0899226926	深Ａ	13600	13600	
300378	鼎捷软件	66500	66100	400	0	-108604.92	-4.488	2311540.00	36.393	34.760	0899226926	深Ａ	66500	66100	
300374	恒通科技	0	0	0	10200	-22022.35	0.000	0.00	0.000	20.250	0899226926	深Ａ	0	10200	
300300	汉鼎宇佑	400	400	0	216700	-57041.93	-95.283	2824.00	149.665	7.060	0899226926	深Ａ	400	217100	
300298	三诺生物	23400	23400	0	0	-51303.18	-5.393	899964.00	40.652	38.460	0899226926	深Ａ	23400	23400	
300294	博雅生物	5700	0	5700	0	-1651.25	-0.620	264651.00	46.720	46.430	0899226926	深Ａ	5700	0	
300263	隆华科技	28300	28300	0	0	-62827.94	-19.699	256115.00	11.270	9.050	0899226926	深Ａ	28300	28300	
300238	冠昊生物	20300	20300	0	0	-23830.84	-4.043	565558.00	29.034	27.860	0899226926	深Ａ	20300	20300	
300231	银信科技	85500	85500	0	0	52585.22	6.051	921690.00	10.165	10.780	0899226926	深Ａ	85500	85500	
300192	科斯伍德	11700	11700	0	0	-10354.41	-3.363	297531.00	26.315	25.430	0899226926	深Ａ	11700	11700	
300177	中海达	159300	159300	0	0	-81720.74	-4.433	1761858.00	11.573	11.060	0899226926	深Ａ	159300	159300	
300171	东富龙	18500	18500	0	0	-15491.83	-3.981	373700.00	21.037	20.200	0899226926	深Ａ	18500	18500	
300158	振东制药	208700	208700	0	0	40885.09	3.247	1300201.00	6.034	6.230	0899226926	深Ａ	208700	208700	
300151	昌红科技	68000	68000	0	0	320699.96	28.594	1442280.00	16.494	21.210	0899226926	深Ａ	68000	68000	
300148	天舟文化	129800	129800	0	0	-12769.32	-1.676	748946.00	5.868	5.770	0899226926	深Ａ	129800	129800	
300143	盈康生命	4700	4700	0	0	957.80	0.903	107019.00	22.566	22.770	0899226926	深Ａ	4700	4700	
300142	沃森生物	32200	32200	0	0	-179218.41	-7.619	2173178.00	73.056	67.490	0899226926	深Ａ	32200	32200	
300125	聆达股份	20600	20600	0	0	33760.38	9.567	386662.00	17.131	18.770	0899226926	深Ａ	20600	20600	
300123	亚光科技	0	0	0	92	-137523.60	0.000	0.00	0.000	19.560	0899226926	深Ａ	0	92	
300122	智飞生物	16300	9500	6800	6800	-209922.16	-8.674	2210280.00	148.479	135.600	0899226926	深Ａ	16300	16300	
300115	长盈精密	42700	42700	0	29400	-25859.22	-2.501	1008147.00	24.216	23.610	0899226926	深Ａ	42700	72100	
300099	精准信息	0	0	0	51800	18243.27	0.000	0.00	0.000	8.880	0899226926	深Ａ	0	51800	
300095	华伍股份	25600	25600	0	0	-10904.87	-3.470	303360.00	12.276	11.850	0899226926	深Ａ	25600	25600	
300083	创世纪	67900	37900	30000	30000	-87485.26	-11.374	681716.00	11.328	10.040	0899226926	深Ａ	67900	67900	
300006	莱美药业	55100	55100	0	0	23761.97	5.222	478819.00	8.259	8.690	0899226926	深Ａ	55100	55100	
002933	新兴装备	6700	6700	0	0	1460.51	0.508	289105.00	42.932	43.150	0899226926	深Ａ	6700	6700	
002932	明德生物	9600	9600	0	0	-1954.80	-0.247	788736.00	82.364	82.160	0899226926	深Ａ	9600	9600	
002847	盐津铺子	2100	2100	0	2500	157927.48	120.719	288750.00	62.296	137.500	0899226926	深Ａ	2100	4600	
002821	凯莱英	4700	4700	0	0	28986.62	2.704	1100975.00	228.083	234.250	0899226926	深Ａ	4700	4700	
002818	富森美	0	0	0	80	-32553.51	0.000	0.00	0.000	15.300	0899226926	深Ａ	0	80	
