标题：资金股票
营业部名称：上海7
股东：素养鸣石量
资金余额：8624919.14 	 可取金额：8624413.46
冻结金额：505.68 	 股票市值：186079691.78
可用余额：8624413.46 	 总 资 产：194704610.92

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	盈亏	成本价	盈亏比例()	市价	市值	交易市场	股东帐户	汇率	成本价港币	买入成本价港币	买入在途数量	卖出在途数量	
002252	上海莱士	1600	1600	0	-185.440	8.326	-1.393	8.210	13136.000	深圳Ａ股	0899216774	1.000000	8.326	8.348	0	0	
002254	泰和新材	600	600	0	-178.210	13.097	-2.268	12.800	7680.000	深圳Ａ股	0899216774	1.000000	13.097	13.043	0	0	
002258	利尔化学	3800	3800	0	-531.460	16.830	-0.832	16.690	63422.000	深圳Ａ股	0899216774	1.000000	16.830	17.015	0	0	
002262	恩华药业	1000	1000	0	715.580	14.284	5.013	15.000	15000.000	深圳Ａ股	0899216774	1.000000	14.284	13.833	0	0	
002271	东方雨虹	100	100	0	-86.580	38.486	-2.250	37.620	3762.000	深圳Ａ股	0899216774	1.000000	38.486	38.486	0	0	
002273	水晶光电	20700	20700	0	-10835.700	16.593	-3.152	16.070	332649.000	深圳Ａ股	0899216774	1.000000	16.593	16.648	0	0	
002279	久其软件	5000	5000	0	1676.700	7.245	4.624	7.580	37900.000	深圳Ａ股	0899216774	1.000000	7.245	7.112	0	0	
002281	光迅科技	1200	1200	0	-19342.340	46.499	-34.665	30.380	36456.000	深圳Ａ股	0899216774	1.000000	46.499	30.445	0	0	
002283	天润工业	2500	2500	0	-126.780	4.751	-1.073	4.700	11750.000	深圳Ａ股	0899216774	1.000000	4.751	4.751	0	0	
002291	星期六	15000	15000	0	26488.670	22.814	7.741	24.580	368700.000	深圳Ａ股	0899216774	1.000000	22.814	25.914	0	0	
002292	奥飞娱乐	6200	6200	0	230.110	6.753	0.548	6.790	42098.000	深圳Ａ股	0899216774	1.000000	6.753	6.919	0	0	
002293	罗莱生活	500	500	0	-77.860	9.816	-1.589	9.660	4830.000	深圳Ａ股	0899216774	1.000000	9.816	9.827	0	0	
002298	中电兴发	300	300	0	89.640	7.851	3.808	8.150	2445.000	深圳Ａ股	0899216774	1.000000	7.851	7.901	0	0	
002299	圣农发展	3200	3200	0	15821.410	20.906	23.649	25.850	82720.000	深圳Ａ股	0899216774	1.000000	20.906	26.657	0	0	
002301	齐心集团	1100	1100	0	389.230	15.596	2.270	15.950	17545.000	深圳Ａ股	0899216774	1.000000	15.596	15.992	0	0	
002309	中利集团	300	300	0	-3.790	5.783	-0.225	5.770	1731.000	深圳Ａ股	0899216774	1.000000	5.783	5.831	0	0	
002311	海大集团	700	700	0	-329.880	45.561	-1.034	45.090	31563.000	深圳Ａ股	0899216774	1.000000	45.561	45.378	0	0	
002312	三泰控股	1100	1100	0	62.240	4.633	1.230	4.690	5159.000	深圳Ａ股	0899216774	1.000000	4.633	4.633	0	0	
002313	日海智能	600	600	0	80.050	18.897	0.704	19.030	11418.000	深圳Ａ股	0899216774	1.000000	18.897	19.183	0	0	
002315	焦点科技	100	100	0	71.800	13.302	5.398	14.020	1402.000	深圳Ａ股	0899216774	1.000000	13.302	13.302	0	0	
002317	众生药业	2100	2100	0	-1322.490	12.810	-4.918	12.180	25578.000	深圳Ａ股	0899216774	1.000000	12.810	12.312	0	0	
