标题：资金股票
营业部名称：中航信交易7-1
股东：鸣石傲华７

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
260600086508	人民币	3450649.760	3015462.810	34053183.420	37068647.230	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
600310	桂东电力	50400	50400	0	0	924.73	0.450	206640.00	4.082	4.100	B882678523	沪Ａ	50400	50400	
600328	中盐化工	41700	41700	0	0	8345.20	2.527	338604.00	7.920	8.120	B882678523	沪Ａ	41700	41700	
600335	国机汽车	50301	50301	0	0	-11145.34	-4.243	251505.00	5.222	5.000	B882678523	沪Ａ	50301	50301	
600351	亚宝药业	84300	84300	0	0	18594.54	4.085	473766.00	5.399	5.620	B882678523	沪Ａ	84300	84300	
600444	国机通用	21500	21500	0	0	7880.80	3.582	227900.00	10.233	10.600	B882678523	沪Ａ	21500	21500	
600463	空港股份	9500	9500	0	0	-2435.01	-3.357	70110.00	7.636	7.380	B882678523	沪Ａ	9500	9500	
600488	天药股份	0	0	0	51	13893.57	0.000	0.00	0.000	5.170	B882678523	沪Ａ	0	51	
600493	凤竹纺织	13100	13100	0	0	-2024.99	-2.793	70478.00	5.535	5.380	B882678523	沪Ａ	13100	13100	
600531	豫光金铅	0	0	0	18000	75020.30	0.000	0.00	0.000	5.100	B882678523	沪Ａ	0	18000	
600617	国新能源	10600	10600	0	0	3805.89	8.290	49714.00	4.331	4.690	B882678523	沪Ａ	10600	10600	
600650	锦江投资	9800	9800	0	0	-1203.71	-1.113	106918.00	11.033	10.910	B882678523	沪Ａ	9800	9800	
600714	金瑞矿业	11200	11200	0	0	1405.22	2.035	70448.00	6.165	6.290	B882678523	沪Ａ	11200	11200	
600719	大连热电	100100	100100	0	0	-12620.08	-2.829	433433.00	4.456	4.330	B882678523	沪Ａ	100100	100100	
600800	天津磁卡	16300	16300	0	0	-8905.09	-10.087	79381.00	5.416	4.870	B882678523	沪Ａ	16300	16300	
600969	郴电国际	12520	12520	0	0	668.72	0.808	83383.20	6.607	6.660	B882678523	沪Ａ	12520	12520	
601068	中铝国际	11367	11367	0	0	403.67	0.808	50355.81	4.394	4.430	B882678523	沪Ａ	11367	11367	
601101	昊华能源	12300	12300	0	0	-749.99	-1.376	53751.00	4.431	4.370	B882678523	沪Ａ	12300	12300	
601226	华电重工	79100	79100	0	0	22682.23	6.955	348831.00	4.123	4.410	B882678523	沪Ａ	79100	79100	
601366	利群股份	23700	23700	0	0	11315.87	8.048	151917.00	5.933	6.410	B882678523	沪Ａ	23700	23700	
601368	绿城水务	48700	48700	0	0	-1096.45	-0.386	282947.00	5.833	5.810	B882678523	沪Ａ	48700	48700	
601369	陕鼓动力	56500	56500	0	0	24664.17	6.551	401150.00	6.663	7.100	B882678523	沪Ａ	56500	56500	
601677	明泰铝业	7800	7800	0	0	3004.98	3.894	80184.00	9.895	10.280	B882678523	沪Ａ	7800	7800	
601678	滨化股份	74000	74000	0	0	-7480.10	-2.054	356680.00	4.921	4.820	B882678523	沪Ａ	74000	74000	
601811	新华文轩	8700	8700	0	0	4826.62	5.187	97875.00	10.695	11.250	B882678523	沪Ａ	8700	8700	
601949	中国出版	25500	25500	0	0	140.81	0.093	150960.00	5.914	5.920	B882678523	沪Ａ	25500	25500	
601965	中国汽研	12400	12400	0	0	4290.63	3.445	128836.00	10.044	10.390	B882678523	沪Ａ	12400	12400	
603009	北特科技	47400	47400	0	0	-5634.01	-1.769	312840.00	6.719	6.600	B882678523	沪Ａ	47400	47400	
603036	如通股份	22900	22900	0	0	5800.36	2.684	221901.00	9.437	9.690	B882678523	沪Ａ	22900	22900	
603059	倍加洁	5200	5200	0	0	20597.94	13.740	170508.00	28.829	32.790	B882678523	沪Ａ	5200	5200	
603067	振华股份	0	0	0	40	-8415.85	0.000	0.00	0.000	8.200	B882678523	沪Ａ	0	40	
603086	先达股份	23460	23460	0	0	-2125.55	-0.552	383101.80	16.421	16.330	B882678523	沪Ａ	23460	23460	
603090	宏盛股份	8800	8800	0	0	7028.97	4.665	157696.00	17.121	17.920	B882678523	沪Ａ	8800	8800	
603117	万林物流	43500	43500	0	0	606.09	0.346	175740.00	4.026	4.040	B882678523	沪Ａ	43500	43500	
603126	中材节能	17700	17700	0	0	758.13	0.988	77526.00	4.337	4.380	B882678523	沪Ａ	17700	17700	
603196	日播时尚	12100	12100	0	0	10489.53	11.039	105512.00	7.853	8.720	B882678523	沪Ａ	12100	12100	
603199	九华旅游	2400	2400	0	0	301.64	0.573	52920.00	21.924	22.050	B882678523	沪Ａ	2400	2400	
300405	科隆股份	35300	35300	0	0	2925.72	1.294	229097.00	6.407	6.490	0899193145	深Ａ	35300	35300	
