标题：资金股票
营业部名称：华泰证券(135)
股东：鸣石量化五号
资金余额：1417038.80 	 可取金额：938080.68
冻结金额：0.00 	 股票市值：19522817.00
可用余额：938080.68 	 总 资 产：20464031.67

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
600885	宏发股份	1900	400	0	38.826	38.870	37.520	-3.47	-2561.243	71288.000	上海Ａ	B881977495	1500	
600895	张江高科	3100	3100	0	19.823	19.845	20.310	2.34	1439.184	62961.000	上海Ａ	B881977495	0	
600901	江苏租赁	3900	3900	0	6.385	6.393	5.820	-8.96	-2231.652	22698.000	上海Ａ	B881977495	0	
600908	无锡银行	5500	5300	0	5.831	5.838	5.550	-4.93	-1581.636	30525.000	上海Ａ	B881977495	200	
600909	华安证券	7400	7400	0	8.803	8.813	7.800	-11.49	-7486.846	57720.000	上海Ａ	B881977495	0	
600917	重庆燃气	800	800	0	7.285	7.299	7.210	-1.22	-70.883	5768.000	上海Ａ	B881977495	0	
600970	中材国际	4300	4300	0	5.543	5.550	5.720	3.07	731.012	24596.000	上海Ａ	B881977495	0	
600985	淮北矿业	1800	1800	0	9.306	9.318	9.020	-3.20	-536.361	16236.000	上海Ａ	B881977495	0	
600996	贵广网络	1400	1400	0	10.973	10.988	7.180	-34.67	-5325.453	10052.000	上海Ａ	B881977495	0	
601003	柳钢股份	2200	2200	0	4.835	4.842	4.910	1.40	148.982	10802.000	上海Ａ	B881977495	0	
601011	宝泰隆	16700	16700	0	5.278	5.284	3.830	-27.52	-24253.236	63961.000	上海Ａ	B881977495	0	
601019	山东出版	4900	4900	0	6.395	6.403	6.590	2.93	917.563	32291.000	上海Ａ	B881977495	0	
601068	中铝国际	3000	3000	0	4.308	4.314	4.280	-0.79	-102.097	12840.000	上海Ａ	B881977495	0	
601098	中南传媒	3000	3000	0	11.549	11.562	10.450	-9.62	-3333.977	31350.000	上海Ａ	B881977495	0	
601118	海南橡胶	7000	7000	0	5.482	5.488	5.280	-3.80	-1456.699	36960.000	上海Ａ	B881977495	0	
601127	小康股份	0	0	0	8.975	8.975	8.990	0.17	85.140	0.000	上海Ａ	B881977495	0	
601128	常熟银行	11800	11200	0	7.817	7.826	7.410	-5.31	-4900.531	87438.000	上海Ａ	B881977495	600	
601139	深圳燃气	2500	2300	0	7.933	7.943	7.690	-3.19	-632.109	19225.000	上海Ａ	B881977495	200	
601179	中国西电	0	0	0	5.970	5.970	5.470	-8.38	14058.420	0.000	上海Ａ	B881977495	0	
601200	上海环境	2000	2000	0	13.079	13.095	13.050	-0.34	-89.622	26100.000	上海Ａ	B881977495	0	
601611	中国核建	3400	0	0	6.991	7.000	6.980	-0.28	-66.607	23732.000	上海Ａ	B881977495	3400	
601678	滨化股份	4500	4500	0	5.014	5.020	4.600	-8.37	-1889.114	20700.000	上海Ａ	B881977495	0	
601717	郑煤机	4300	4200	0	6.679	6.687	6.400	-4.29	-1232.770	27520.000	上海Ａ	B881977495	100	
601777	力帆股份	229200	229200	0	4.526	4.531	4.250	-6.20	-64350.192	974100.000	上海Ａ	B881977495	0	
601799	星宇股份	600	0	0	137.055	137.209	135.050	-1.57	-1293.754	81030.000	上海Ａ	B881977495	600	
601801	皖新传媒	2500	2500	0	5.743	5.751	5.690	-1.06	-152.009	14225.000	上海Ａ	B881977495	0	
601811	新华文轩	700	700	0	10.586	10.604	10.790	1.76	130.096	7553.000	上海Ａ	B881977495	0	
601865	福莱特	600	0	0	21.053	21.083	20.900	-0.87	-109.591	12540.000	上海Ａ	B881977495	600	
601869	长飞光纤	300	300	0	34.897	34.949	30.890	-11.62	-1216.552	9267.000	上海Ａ	B881977495	0	
601958	金钼股份	4100	4100	0	6.753	6.761	6.450	-4.60	-1274.274	26445.000	上海Ａ	B881977495	0	
601966	玲珑轮胎	2100	0	0	23.125	23.151	23.040	-0.48	-232.852	48384.000	上海Ａ	B881977495	2100	
