标题：资金股票
营业部名称：YH4
股东：鸣石量化21号
资金余额：1484874.52 	 可取金额：940266.85
冻结金额：0.00 	 股票市值：16952819.13
可用余额：940266.85 	 总 资 产：17895616.44

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	市价	盈亏比例()	市值	盈亏	交易市场	股东帐户	
601108	财通证券	33200	6300	0	15.450	16.740	8.350	555768.000	42833.210	上海Ａ股	B882807392	
603027	千禾味业	1400	1400	0	34.869	34.740	-0.370	48636.000	-180.770	上海Ａ股	B882807392	
603208	江山欧派	2500	2500	0	117.837	139.570	18.443	348925.000	54332.040	上海Ａ股	B882807392	
603223	恒通股份	300	300	0	13.409	14.440	7.689	4332.000	309.190	上海Ａ股	B882807392	
603338	浙江鼎力	0	0	0	86.540	88.670	2.461	0.000	2229.770	上海Ａ股	B882807392	
603345	安井食品	1700	1700	0	143.059	144.880	1.273	246296.000	3095.360	上海Ａ股	B882807392	
603590	康辰药业	0	0	0	49.662	53.500	7.728	0.000	22587.280	上海Ａ股	B882807392	
603611	诺力股份	7800	7800	0	22.201	21.580	-2.797	168324.000	-4845.560	上海Ａ股	B882807392	
603638	艾迪精密	0	0	0	55.541	59.100	6.408	0.000	15492.120	上海Ａ股	B882807392	
603718	海利生物	10700	5700	0	45.287	49.120	8.464	525584.000	41016.700	上海Ａ股	B882807392	
603848	好太太	7600	7600	0	13.843	13.610	-1.683	103436.000	-1767.080	上海Ａ股	B882807392	
000155	川能动力	85200	0	0	5.494	5.510	0.291	469452.000	1329.290	深圳Ａ股	0899200729	
000513	丽珠集团	400	400	0	52.611	54.460	3.514	21784.000	739.780	深圳Ａ股	0899200729	
