-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值          融券利息        已还利息        逾期罚息        已还罚息        展期结转费用        合约参考盈亏        状态说明        合约本金状态        券源标识        
13062         20200629        20201228        601611          中国核建        400             400             0               0.00                0                   6.190          0.00              0.00            0.00            0.00            0.00            0.00                -285.93             已偿还          本金已还完          预约券源        
13063         20200629        20201228        601678          滨化股份        600             600             0               0.00                0                   4.250          0.00              0.00            0.00            0.00            0.00            0.00                -281.80             已偿还          本金已还完          预约券源        
13064         20200629        20201228        000012          南 玻Ａ         800             800             0               0.00                0                   5.030          0.00              0.00            0.00            0.00            0.00            0.00                -499.42             已偿还          本金已还完          预约券源        
13065         20200629        20201228        601615          明阳智能        300             300             0               0.00                0                   12.640         0.00              0.00            0.00            0.00            0.00            0.00                -544.67             已偿还          本金已还完          预约券源        
13067         20200629        20201228        601718          际华集团        1200            1200            0               0.00                0                   3.330          0.00              0.00            0.00            0.00            0.00            0.00                -658.28             已偿还          本金已还完          预约券源        
13068         20200629        20201228        601168          西部矿业        1000            1000            0               0.00                0                   5.720          0.00              0.00            0.00            0.00            0.00            0.00                -1633.83            已偿还          本金已还完          预约券源        
13069         20200629        20201228        601865          福莱特          100             100             0               0.00                0                   19.250         0.00              0.00            0.00            0.00            0.00            0.00                -139.37             已偿还          本金已还完          预约券源        
13070         20200629        20201228        000008          神州高铁        1100            1100            0               0.00                0                   2.890          0.00              0.00            0.00            0.00            0.00            0.00                -265.58             已偿还          本金已还完          预约券源        
13071         20200629        20201228        601866          中远海发        2200            2200            0               0.00                0                   1.850          0.00              0.00            0.00            0.00            0.00            0.00                -710.95             已偿还          本金已还完          预约券源        
13072         20200629        20201228        600563          法拉电子        100             100             0               0.00                0                   60.080         0.00              0.00            0.00            0.00            0.00            0.00                -285.63             已偿还          本金已还完          预约券源        
13073         20200629        20201228        601958          金钼股份        500             500             0               0.00                0                   6.110          0.00              0.00            0.00            0.00            0.00            0.00                -432.12             已偿还          本金已还完          预约券源        
13074         20200629        20201228        000031          大悦城          700             700             0               0.00                0                   5.010          0.00              0.00            0.00            0.00            0.00            0.00                -808.61             已偿还          本金已还完          预约券源        
