-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值        融券利息        已还利息        逾期罚息        已还罚息        合约参考盈亏        状态说明        合约本金状态        券源标识        
12503         20200623        20201222        600970          中材国际        400             0               400             0.00                0                   5.390          2156.00         0.00            0.00            0.00            0.00            -7.20               未偿还          本金未归还          预约券源        
12504         20200623        20201222        000158          常山北明        400             0               400             0.00                0                   9.700          4268.00         0.00            0.00            0.00            0.00            -396.88             未偿还          本金未归还          预约券源        
12505         20200623        20201222        600446          金证股份        300             0               300             0.00                0                   19.100         5760.00         0.00            0.00            0.00            0.00            -40.84              未偿还          本金未归还          预约券源        
12506         20200623        20201222        601228          广州港          800             0               800             0.00                0                   3.070          2440.00         0.00            0.00            0.00            0.00            8.49                未偿还          本金未归还          预约券源        
12507         20200623        20201222        600959          江苏有线        1300            0               1300            0.00                0                   3.730          4836.00         0.00            0.00            0.00            0.00            3.06                未偿还          本金未归还          预约券源        
12508         20200623        20201222        601128          常熟银行        1200            0               1200            0.00                0                   7.330          9012.00         0.00            0.00            0.00            0.00            -229.98             未偿还          本金未归还          预约券源        
12509         20200623        20201222        601099          太平洋          3000            0               3000            0.00                0                   3.230          9600.00         0.00            0.00            0.00            0.00            75.12               未偿还          本金未归还          预约券源        
12510         20200623        20201222        601611          中国核建        300             0               300             0.00                0                   6.270          1878.00         0.00            0.00            0.00            0.00            -3.92               未偿还          本金未归还          预约券源        
12511         20200623        20201222        601106          中国一重        1200            0               1200            0.00                0                   2.860          3420.00         0.00            0.00            0.00            0.00            3.50                未偿还          本金未归还          预约券源        
12512         20200623        20201222        000031          大悦城          600             0               600             0.00                0                   5.090          3168.00         0.00            0.00            0.00            0.00            -122.05             未偿还          本金未归还          预约券源        
12513         20200623        20201222        601233          桐昆股份        500             0               500             0.00                0                   12.350         6510.00         0.00            0.00            0.00            0.00            -346.30             未偿还          本金未归还          预约券源        
12514         20200623        20201222        000021          深科技          300             0               300             0.00                0                   23.280         6570.00         0.00            0.00            0.00            0.00            402.02              未偿还          本金未归还          预约券源        
12515         20200623        20201222        601608          中信重工        800             0               800             0.00                0                   3.470          2768.00         0.00            0.00            0.00            0.00            0.16                未偿还          本金未归还          预约券源        
12516         20200623        20201222        601865          福莱特          100             0               100             0.00                0                   15.200         1912.00         0.00            0.00            0.00            0.00            -398.55             未偿还          本金未归还          预约券源        
12517         20200623        20201222        601678          滨化股份        500             0               500             0.00                0                   4.320          2125.00         0.00            0.00            0.00            0.00            27.80               未偿还          本金未归还          预约券源        
12518         20200623        20201222        600859          XD王府井        200             0               200             0.00                0                   41.940         9938.00         0.00            0.00            0.00            0.00            -1639.56            未偿还          本金未归还          预约券源        
12519         20200623        20201222        601333          广深铁路        1500            0               1500            0.00                0                   2.240          3390.00         0.00            0.00            0.00            0.00            -38.42              未偿还          本金未归还          预约券源        
12520         20200623        20201222        603025          大豪科技        100             0               100             0.00                0                   7.370          727.00          0.00            0.00            0.00            0.00            4.25                未偿还          本金未归还          预约券源        
12521         20200623        20201222        601718          际华集团        1000            0               1000            0.00                0                   3.360          3350.00         0.00            0.00            0.00            0.00            1.57                未偿还          本金未归还          预约券源        
12522         20200623        20201222        601801          皖新传媒        300             0               300             0.00                0                   5.770          1716.00         0.00            0.00            0.00            0.00            8.24                未偿还          本金未归还          预约券源        
12523         20200623        20201222        000008          神州高铁        800             0               800             0.00                0                   2.920          2368.00         0.00            0.00            0.00            0.00            -39.34              未偿还          本金未归还          预约券源        
12524         20200623        20201222        601966          玲珑轮胎        200             0               200             0.00                0                   20.480         4020.00         0.00            0.00            0.00            0.00            66.82               未偿还          本金未归还          预约券源        
12525         20200623        20201222        000027          深圳能源        600             0               600             0.00                0                   4.820          2802.00         0.00            0.00            0.00            0.00            82.11               未偿还          本金未归还          预约券源        
12526         20200623        20201222        603806          福斯特          100             0               100             0.00                0                   43.840         4997.00         0.00            0.00            0.00            0.00            -622.47             未偿还          本金未归还          预约券源        
12527         20200623        20201222        000528          柳 工           400             0               400             0.00                0                   6.380          2576.00         0.00            0.00            0.00            0.00            -31.55              未偿还          本金未归还          预约券源        
12528         20200623        20201222        601699          潞安环能        500             0               500             0.00                0                   5.840          2840.00         0.00            0.00            0.00            0.00            -47.48              未偿还          本金未归还          预约券源        
12529         20200623        20201222        603338          浙江鼎力        100             0               100             0.00                0                   74.760         7577.00         0.00            0.00            0.00            0.00            -113.63             未偿还          本金未归还          预约券源        
12530         20200623        20201222        000050          深天马Ａ        400             0               400             0.00                0                   14.760         6084.00         0.00            0.00            0.00            0.00            -190.91             未偿还          本金未归还          预约券源        
12531         20200623        20201222        601869          长飞光纤        100             0               100             0.00                0                   30.660         3063.00         0.00            0.00            0.00            0.00            -5.13               未偿还          本金未归还          预约券源        
12532         20200623        20201222        000156          华数传媒        200             0               200             0.00                0                   11.170         2170.00         0.00            0.00            0.00            0.00            56.77               未偿还          本金未归还          预约券源        
12533         20200623        20201222        603077          和邦生物        2300            0               2300            0.00                0                   1.320          3036.00         0.00            0.00            0.00            0.00            -8.10               未偿还          本金未归还          预约券源        
12534         20200623        20201222        000629          攀钢钒钛        1900            0               1900            0.00                0                   2.030          3857.00         0.00            0.00            0.00            0.00            -8.86               未偿还          本金未归还          预约券源        
12535         20200623        20201222        600056          中国医药        200             0               200             0.00                0                   14.270         2812.00         0.00            0.00            0.00            0.00            -21.02              未偿还          本金未归还          预约券源        
12536         20200623        20201222        601975          招商南油        1500            0               1500            0.00                0                   2.430          3600.00         0.00            0.00            0.00            0.00            36.28               未偿还          本金未归还          预约券源        
12537         20200623        20201222        600486          扬农化工        100             0               100             0.00                0                   81.900         8150.00         0.00            0.00            0.00            0.00            26.65               未偿还          本金未归还          预约券源        
12538         20200623        20201222        000402          金 融 街        500             0               500             0.00                0                   6.610          3415.00         0.00            0.00            0.00            0.00            -118.30             未偿还          本金未归还          预约券源        
12539         20200623        20201222        000301          东方盛虹        500             0               500             0.00                0                   5.610          2750.00         0.00            0.00            0.00            0.00            47.19               未偿还          本金未归还          预约券源        
12540         20200623        20201222        000686          东北证券        600             0               600             0.00                0                   8.640          5166.00         0.00            0.00            0.00            0.00            -52.18              未偿还          本金未归还          预约券源        
12541         20200623        20201222        000488          晨鸣纸业        600             0               600             0.00                0                   4.910          2958.00         0.00            0.00            0.00            0.00            -19.95              未偿还          本金未归还          预约券源        
12542         20200623        20201222        000519          中兵红箭        300             0               300             0.00                0                   9.220          2853.00         0.00            0.00            0.00            0.00            -94.76              未偿还          本金未归还          预约券源        
12543         20200623        20201222        000729          燕京啤酒        600             0               600             0.00                0                   6.620          4176.00         0.00            0.00            0.00            0.00            -212.97             未偿还          本金未归还          预约券源        
12544         20200623        20201222        000543          皖能电力        500             0               500             0.00                0                   3.990          2015.00         0.00            0.00            0.00            0.00            -27.00              未偿还          本金未归还          预约券源        
12545         20200623        20201222        000758          中色股份        600             0               600             0.00                0                   4.360          2592.00         0.00            0.00            0.00            0.00            16.38               未偿还          本金未归还          预约券源        
12546         20200623        20201222        603517          绝味食品        100             0               100             0.00                0                   71.420         7144.00         0.00            0.00            0.00            0.00            -14.28              未偿还          本金未归还          预约券源        
12547         20200623        20201222        000559          万向钱潮        600             0               600             0.00                0                   4.890          2922.00         0.00            0.00            0.00            0.00            4.07                未偿还          本金未归还          预约券源        
