标题：资金股票
营业部名称：华泰证券(1147)
股东：鸣石量化十四号
资金余额：3049560.50 	 可取金额：3049560.50
冻结金额：0.00 	 股票市值：25969526.15
可用余额：3096037.35 	 总 资 产：29065594.02

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
600770	综艺股份	4200	4200	0	5.395	5.402	5.870	8.67	1964.853	24654.000	上海Ａ	B882702267	0	
600779	水井坊	1100	1100	0	66.695	66.773	63.700	-4.60	-3376.482	70070.000	上海Ａ	B882702267	0	
600782	新钢股份	8400	8400	0	4.527	4.532	4.420	-2.48	-942.240	37128.000	上海Ａ	B882702267	0	
600787	中储股份	4700	4700	0	5.071	5.077	5.080	0.05	12.946	23876.000	上海Ａ	B882702267	0	
600801	华新水泥	3800	3800	0	26.732	26.763	27.390	2.34	2378.624	104082.000	上海Ａ	B882702267	0	
600804	鹏博士	7000	0	0	8.908	8.918	9.180	2.93	1828.816	64260.000	上海Ａ	B882702267	7000	
600820	隧道股份	10600	10600	0	6.230	6.237	6.020	-3.48	-2300.660	63812.000	上海Ａ	B882702267	0	
600823	世茂股份	8100	8100	0	4.840	4.846	4.360	-10.02	-3929.320	35316.000	上海Ａ	B882702267	0	
600835	上海机电	1800	1800	0	18.420	18.442	17.360	-5.87	-1944.873	31248.000	上海Ａ	B882702267	0	
600845	宝信软件	2000	2000	0	71.209	71.292	71.250	-0.06	-84.725	142500.000	上海Ａ	B882702267	0	
600862	中航高科	3000	0	0	22.611	22.637	22.710	0.32	217.288	68130.000	上海Ａ	B882702267	3000	
600869	智慧能源	6100	6100	0	4.071	4.076	4.060	-0.39	-97.361	24766.000	上海Ａ	B882702267	0	
600874	创业环保	2400	2400	0	7.539	7.549	7.220	-4.36	-788.275	17328.000	上海Ａ	B882702267	0	
600875	东方电气	5800	5800	0	9.758	9.769	10.360	6.04	3421.297	60088.000	上海Ａ	B882702267	0	
600879	航天电子	11700	0	0	7.361	7.370	7.420	0.68	588.728	86814.000	上海Ａ	B882702267	11700	
600884	杉杉股份	4400	4400	0	7.807	7.816	13.240	69.39	23837.040	58256.000	上海Ａ	B882702267	0	
600885	宏发股份	2	2	0	-1800.450	0.000	42.100	4376.60	3680.014	84.200	上海Ａ	B882702267	0	
600901	江苏租赁	4900	4900	0	6.218	6.225	6.060	-2.66	-809.488	29694.000	上海Ａ	B882702267	0	
600903	贵州燃气	1200	0	0	11.062	11.077	11.130	0.47	62.977	13356.000	上海Ａ	B882702267	1200	
600908	无锡银行	7000	7000	0	5.797	5.804	5.660	-2.48	-1005.355	39620.000	上海Ａ	B882702267	0	
600909	华安证券	9700	9700	0	8.669	8.679	8.090	-6.79	-5708.113	78473.000	上海Ａ	B882702267	0	
600917	重庆燃气	1100	0	0	7.374	7.386	7.320	-0.90	-72.613	8052.000	上海Ａ	B882702267	1100	
600967	内蒙一机	4600	4600	0	11.148	11.161	10.870	-2.61	-1337.302	50002.000	上海Ａ	B882702267	0	
600970	中材国际	5700	5700	0	5.790	5.797	5.980	3.16	1043.119	34086.000	上海Ａ	B882702267	0	
600985	淮北矿业	2400	2400	0	9.437	9.449	9.310	-1.47	-332.591	22344.000	上海Ａ	B882702267	0	
600996	贵广网络	1800	1800	0	8.488	8.499	7.350	-13.53	-2066.895	13230.000	上海Ａ	B882702267	0	
601003	柳钢股份	2900	2900	0	4.889	4.896	4.990	1.93	273.140	14471.000	上海Ａ	B882702267	0	
601011	宝泰隆	5400	5400	0	5.507	5.514	3.910	-29.09	-8650.336	21114.000	上海Ａ	B882702267	0	
601019	山东出版	3400	3400	0	6.886	6.895	6.780	-1.66	-388.913	23052.000	上海Ａ	B882702267	0	
601068	中铝国际	3200	3200	0	4.634	4.640	4.390	-5.40	-800.129	14048.000	上海Ａ	B882702267	0	
601098	中南传媒	3900	3900	0	11.357	11.370	10.670	-6.16	-2727.987	41613.000	上海Ａ	B882702267	0	
601118	海南橡胶	9300	8600	0	5.371	5.377	5.360	-0.32	-160.622	49848.000	上海Ａ	B882702267	700	
601127	小康股份	1400	1400	0	8.710	8.722	8.950	2.61	318.219	12530.000	上海Ａ	B882702267	0	
601128	常熟银行	14900	14900	0	7.818	7.827	7.450	-4.82	-5613.076	111005.000	上海Ａ	B882702267	0	
601139	深圳燃气	3100	3100	0	7.433	7.442	7.790	4.67	1077.068	24149.000	上海Ａ	B882702267	0	
601168	西部矿业	10400	10400	0	7.140	7.148	8.120	13.59	10093.196	84448.000	上海Ａ	B882702267	0	
601179	中国西电	10900	10900	0	5.396	5.402	5.370	-0.60	-351.884	58533.000	上海Ａ	B882702267	0	
601200	上海环境	2500	2500	0	12.884	12.899	13.400	3.88	1250.805	33500.000	上海Ａ	B882702267	0	
601233	桐昆股份	5900	5900	0	14.390	14.407	14.440	0.23	195.321	85196.000	上海Ａ	B882702267	0	
601611	中国核建	4300	4300	0	6.527	6.535	7.080	8.34	2341.847	30444.000	上海Ａ	B882702267	0	
601678	滨化股份	5900	5900	0	4.517	4.522	5.020	11.00	2932.490	29618.000	上海Ａ	B882702267	0	
601689	拓普集团	2400	2400	0	33.479	33.518	34.010	1.47	1178.900	81624.000	上海Ａ	B882702267	0	
601717	郑煤机	5500	5500	0	6.647	6.655	6.590	-0.97	-355.907	36245.000	上海Ａ	B882702267	0	
601777	力帆股份	157203	157203	0	4.804	4.810	4.380	-8.93	-67459.674	688549.140	上海Ａ	B882702267	0	
601799	星宇股份	800	0	0	142.211	142.378	149.000	4.65	5291.736	119200.000	上海Ａ	B882702267	800	
601801	皖新传媒	3300	3300	0	5.890	5.898	5.840	-0.98	-189.657	19272.000	上海Ａ	B882702267	0	
601811	新华文轩	1000	1000	0	11.221	11.237	11.220	-0.16	-17.444	11220.000	上海Ａ	B882702267	0	
601865	福莱特	0	0	0	20.834	20.834	22.790	9.39	1325.040	0.000	上海Ａ	B882702267	0	
601869	长飞光纤	500	500	0	33.072	33.116	31.250	-5.64	-931.938	15625.000	上海Ａ	B882702267	0	
601928	凤凰传媒	4200	0	0	7.018	7.026	7.060	0.48	141.155	29652.000	上海Ａ	B882702267	4200	
601958	金钼股份	5400	5400	0	6.623	6.631	6.650	0.29	103.785	35910.000	上海Ａ	B882702267	0	
601966	玲珑轮胎	2600	2600	0	23.238	23.265	23.450	0.79	479.865	60970.000	上海Ａ	B882702267	0	
603000	人民网	3000	3000	0	18.536	18.558	19.870	7.07	3932.256	59610.000	上海Ａ	B882702267	0	
603025	大豪科技	1100	1100	0	7.785	7.797	8.050	3.24	277.468	8855.000	上海Ａ	B882702267	0	
603056	德邦股份	1600	1600	0	13.000	13.016	12.850	-1.28	-265.971	20560.000	上海Ａ	B882702267	0	
603198	迎驾贡酒	1400	1400	0	23.737	23.765	21.810	-8.23	-2733.945	30534.000	上海Ａ	B882702267	0	
603225	新凤鸣	900	900	0	10.559	10.575	10.610	0.33	31.160	9549.000	上海Ａ	B882702267	0	
603228	景旺电子	1400	1400	0	38.722	38.767	35.720	-7.86	-4261.309	50008.000	上海Ａ	B882702267	0	
603233	大参林	1000	1000	0	71.905	71.989	76.500	6.27	4505.495	76500.000	上海Ａ	B882702267	0	
603317	天味食品	400	400	0	57.555	57.626	58.300	1.17	269.214	23320.000	上海Ａ	B882702267	0	
603328	依顿电子	2200	2200	0	9.918	9.930	10.150	2.21	482.623	22330.000	上海Ａ	B882702267	0	
603338	浙江鼎力	800	800	0	81.900	81.996	88.670	8.14	5333.005	70936.000	上海Ａ	B882702267	0	
603355	莱克电气	500	500	0	21.443	21.475	26.750	24.57	2634.857	13375.000	上海Ａ	B882702267	0	
603377	东方时尚	1300	1300	0	21.151	21.176	22.050	4.13	1134.462	28665.000	上海Ａ	B882702267	0	
603379	三美股份	500	500	0	21.654	21.686	22.550	3.98	431.500	11275.000	上海Ａ	B882702267	0	
603444	吉比特	300	300	0	600.532	601.235	620.000	3.12	5622.780	186000.000	上海Ａ	B882702267	0	
603486	科沃斯	900	900	0	29.176	29.211	31.600	8.18	2147.591	28440.000	上海Ａ	B882702267	0	
603515	欧普照明	900	900	0	31.987	32.025	30.000	-6.33	-1820.840	27000.000	上海Ａ	B882702267	0	
603517	绝味食品	1800	1800	0	86.722	86.824	85.700	-1.29	-2020.084	154260.000	上海Ａ	B882702267	0	
603556	海兴电力	1100	1100	0	15.628	15.649	15.030	-3.95	-679.664	16533.000	上海Ａ	B882702267	0	
603568	伟明环保	1100	1100	0	23.029	23.057	21.590	-6.36	-1612.124	23749.000	上海Ａ	B882702267	0	
603605	珀莱雅	200	200	0	160.367	160.556	187.510	16.79	5384.723	37502.000	上海Ａ	B882702267	0	
603650	彤程新材	600	600	0	-172.436	0.000	34.200	604.20	123955.670	20520.000	上海Ａ	B882702267	0	
603659	璞泰来	700	0	0	98.089	98.204	106.390	8.34	5723.567	74473.000	上海Ａ	B882702267	700	
603660	苏州科达	9160	9160	0	11.317	11.330	9.030	-20.30	-21045.696	82714.800	上海Ａ	B882702267	0	
603698	航天工程	1100	0	0	12.029	12.046	12.120	0.62	81.501	13332.000	上海Ａ	B882702267	1100	
603707	健友股份	1300	1300	0	44.585	44.637	47.220	5.79	3353.678	61386.000	上海Ａ	B882702267	0	
603712	七一二	800	800	0	38.865	38.911	44.250	13.72	4266.582	35400.000	上海Ａ	B882702267	0	
603811	诚意药业	700	700	0	31.867	31.907	26.470	-17.04	-3801.800	18529.000	上海Ａ	B882702267	0	
603816	顾家家居	1000	1000	0	60.351	60.422	57.200	-5.33	-3217.924	57200.000	上海Ａ	B882702267	0	
603858	步长制药	3000	3000	0	27.395	27.427	28.660	4.50	3694.403	85980.000	上海Ａ	B882702267	0	
603866	桃李面包	1100	1100	0	58.332	58.400	60.270	3.20	2054.233	66297.000	上海Ａ	B882702267	0	
603868	飞科电器	300	300	0	58.673	58.750	61.070	3.95	695.413	18321.000	上海Ａ	B882702267	0	
603882	金域医学	1000	1000	0	90.304	90.410	96.420	6.65	6003.189	96420.000	上海Ａ	B882702267	0	
603883	老百姓	700	700	0	105.149	105.272	104.000	-1.21	-889.476	72800.000	上海Ａ	B882702267	0	
603885	吉祥航空	3200	3200	0	9.141	9.152	9.310	1.73	505.412	29792.000	上海Ａ	B882702267	0	
603888	新华网	1200	1200	0	21.249	21.275	23.380	9.90	2523.583	28056.000	上海Ａ	B882702267	0	
603939	益丰药房	1200	1200	0	87.184	87.286	86.330	-1.10	-1146.007	103596.000	上海Ａ	B882702267	0	
