标题：资金股票
营业部名称：华泰证券(212)
股东：鸣石量化十三号
资金余额：52382964.53 	 可取金额：34503410.46
冻结金额：0.00 	 股票市值：565017612.91
可用余额：34503410.46 	 总 资 产：599537172.37

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
000599	青岛双星	137800	137800	0	4.491	4.496	4.700	4.53	28042.438	647660.000	深圳Ａ	0899163779	0	
000603	盛达资源	41400	41400	0	13.204	13.219	14.600	10.44	57087.205	604440.000	深圳Ａ	0899163779	0	
000608	阳光股份	69200	69200	0	5.094	5.100	5.220	2.35	8296.568	361224.000	深圳Ａ	0899163779	0	
000615	京汉股份	252700	252700	0	4.474	4.479	4.630	3.37	38052.299	1170001.000	深圳Ａ	0899163779	0	
000623	吉林敖东	377800	250100	0	18.739	18.761	18.410	-1.87	-132433.899	6955298.000	深圳Ａ	0899163779	127700	
000639	西王食品	94300	94300	0	5.731	5.738	6.420	11.89	64264.375	605406.000	深圳Ａ	0899163779	0	
000652	泰达股份	0	0	0	6.791	6.791	7.730	13.83	924144.480	0.000	深圳Ａ	0899163779	0	
000690	宝新能源	66000	66000	0	5.451	5.457	5.620	2.98	10720.024	370920.000	深圳Ａ	0899163779	0	
000700	模塑科技	35197	35197	0	-3.323	0.000	9.450	0.00	449182.125	332611.650	深圳Ａ	0899163779	0	
000720	新能泰山	71103	71103	0	5.069	5.075	5.470	7.79	28057.251	388933.410	深圳Ａ	0899163779	0	
000723	美锦能源	1267400	1267400	0	6.953	6.961	7.400	6.30	555554.651	9378760.000	深圳Ａ	0899163779	0	
000725	京东方Ａ	2091400	0	0	5.268	5.274	5.260	-0.27	-29602.094	11000764.000	深圳Ａ	0899163779	2091400	
000736	中交地产	26500	26500	0	8.142	8.152	8.090	-0.76	-1628.830	214385.000	深圳Ａ	0899163779	0	
000759	中百集团	5100	5100	0	5.580	5.587	7.280	30.31	8626.560	37128.000	深圳Ａ	0899163779	0	
000766	通化金马	100300	0	0	5.341	5.347	5.350	0.05	274.872	536605.000	深圳Ａ	0899163779	100300	
000777	中核科技	0	0	0	12.771	12.771	13.200	3.36	2294.170	0.000	深圳Ａ	0899163779	0	
000793	华闻集团	2435518	2435518	0	4.447	4.452	4.640	4.22	456833.034	11300803.520	深圳Ａ	0899163779	0	
000797	中国武夷	151074	151074	0	4.307	4.312	4.360	1.11	7236.263	658682.640	深圳Ａ	0899163779	0	
000799	酒鬼酒	32200	0	0	77.083	77.173	77.430	0.33	8256.302	2493246.000	深圳Ａ	0899163779	32200	
000859	国风塑业	431500	0	0	6.573	6.581	6.610	0.45	12628.408	2852215.000	深圳Ａ	0899163779	431500	
000863	三湘印象	0	0	0	4.447	4.447	4.700	5.69	13095.180	0.000	深圳Ａ	0899163779	0	
000875	吉电股份	700400	700400	0	4.285	4.290	4.470	4.20	125910.978	3130788.000	深圳Ａ	0899163779	0	
000881	中广核技	303000	84900	0	9.644	9.655	10.400	7.71	225381.096	3151200.000	深圳Ａ	0899163779	218100	
000892	欢瑞世纪	282900	282900	0	4.315	4.320	4.750	9.95	121489.283	1343775.000	深圳Ａ	0899163779	0	
000893	东凌国际	37700	37700	0	5.787	5.794	7.450	28.59	62366.488	280865.000	深圳Ａ	0899163779	0	
000910	大亚圣象	52742	52742	0	15.770	15.788	17.570	11.28	93851.388	926676.940	深圳Ａ	0899163779	0	
000912	泸天化	66200	66200	0	4.461	4.466	4.570	2.32	6861.835	302534.000	深圳Ａ	0899163779	0	
