标题：资金股票
营业部名称：DbzqJY-tc-107
股东：鸣石宽墨三号
资金余额：2586610.77 	 可取金额：2586610.77
冻结金额：0.00 	 股票市值：28177826.78
可用余额：3003347.01 	 总 资 产：30764437.55

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	参考盈亏	参考成本价	参考盈亏比	市价	市值	成本金额	市场代码	交易市场	股东帐户	实际数量	单位数量	资讯	历史成交	退市日期	回报买入数量	回报卖出数量	
511990	华宝添益	4.00	0.00	0	60212.470	-14953.138	0.000	100.005	400.020	-59812.552	2	上海Ａ股	B882855418	4	1			0	0.00	0.00	
600009	上海机场	7100.00	0.00	0	2849.620	77.798	0.517	78.200	555220.000	552365.800	2	上海Ａ股	B882855418	7100	1			0	0.00	0.00	
600118	中国卫星	13900.00	0.00	0	-56822.240	42.403	-9.653	38.310	532509.000	589401.700	2	上海Ａ股	B882855418	13900	1			0	0.00	0.00	
600184	光电股份	38500.00	0.00	0	-59586.290	13.230	-11.716	11.680	449680.000	509355.000	2	上海Ａ股	B882855418	38500	1			0	0.00	0.00	
600196	复星医药	10500.00	0.00	0	-12191.500	54.143	-2.148	52.980	556290.000	568501.500	2	上海Ａ股	B882855418	10500	1			0	0.00	0.00	
600211	西藏药业	5200.00	0.00	0	-66312.450	114.268	-11.174	101.500	527800.000	594193.600	2	上海Ａ股	B882855418	5200	1			0	0.00	0.00	
600223	鲁商发展	25500.00	0.00	0	9111.520	12.092	2.961	12.450	317475.000	308346.000	2	上海Ａ股	B882855418	25500	1			0	0.00	0.00	
600316	洪都航空	15500.00	0.00	0	-50258.930	36.696	-8.846	33.450	518475.000	568788.000	2	上海Ａ股	B882855418	15500	1			0	0.00	0.00	
600391	航发科技	6200.00	0.00	0	-24842.930	30.302	-13.240	26.290	162998.000	187872.400	2	上海Ａ股	B882855418	6200	1			0	0.00	0.00	
600496	精工钢构	78700.00	0.00	0	33922.980	6.599	6.531	7.030	553261.000	519341.300	2	上海Ａ股	B882855418	78700	1			0	0.00	0.00	
600556	天下秀	11700.00	0.00	0	-23862.320	23.942	-8.529	21.900	256230.000	280121.400	2	上海Ａ股	B882855418	11700	1			0	0.00	0.00	
600760	中航沈飞	9400.00	0.00	0	-23719.010	60.727	-4.161	58.200	547080.000	570833.800	2	上海Ａ股	B882855418	9400	1			0	0.00	0.00	
600893	航发动力	12100.00	0.00	0	-25351.450	45.917	-4.567	43.820	530222.000	555595.700	2	上海Ａ股	B882855418	12100	1			0	0.00	0.00	
600909	华安证券	62400.00	0.00	0	3765.300	8.819	0.692	8.880	554112.000	550305.600	2	上海Ａ股	B882855418	62400	1			0	0.00	0.00	
600967	内蒙一机	17200.00	0.00	0	-22032.300	13.622	-9.411	12.340	212248.000	234298.400	2	上海Ａ股	B882855418	17200	1			0	0.00	0.00	
600988	赤峰黄金	26100.00	0.00	0	-42235.780	21.970	-7.374	20.350	531135.000	573417.000	2	上海Ａ股	B882855418	26100	1			0	0.00	0.00	
600989	宝丰能源	44100.00	0.00	0	23276.170	12.131	4.361	12.660	558306.000	534977.100	2	上海Ａ股	B882855418	44100	1			0	0.00	0.00	
600997	开滦股份	5500.00	0.00	0	-976.140	5.357	-3.304	5.180	28490.000	29463.500	2	上海Ａ股	B882855418	5500	1			0	0.00	0.00	
601066	中信建投	10600.00	0.00	0	-23429.510	54.273	-4.078	52.060	551836.000	575293.800	2	上海Ａ股	B882855418	10600	1			0	0.00	0.00	
601128	常熟银行	27900.00	0.00	0	-3809.060	8.087	-1.694	7.950	221805.000	225627.300	2	上海Ａ股	B882855418	27900	1			0	0.00	0.00	
601611	中国核建	17200.00	0.00	0	-25040.520	9.928	-14.686	8.470	145684.000	170761.600	2	上海Ａ股	B882855418	17200	1			0	0.00	0.00	
601628	中国人寿	12600.00	0.00	0	-4559.180	43.992	-0.823	43.630	549738.000	554299.200	2	上海Ａ股	B882855418	12600	1			0	0.00	0.00	
601838	成都银行	18000.00	0.00	0	3493.550	9.826	1.974	10.020	180360.000	176868.000	2	上海Ａ股	B882855418	18000	1			0	0.00	0.00	
601888	中国中免	2900.00	0.00	0	28268.010	200.550	4.867	210.310	609899.000	581595.000	2	上海Ａ股	B882855418	2900	1			0	0.00	0.00	
601899	紫金矿业	90558.00	0.00	0	259.770	6.597	0.045	6.600	597682.800	597411.126	2	上海Ａ股	B882855418	90558	1			0	0.00	0.00	
601952	苏垦农发	3600.00	0.00	0	32245.720	7.022	127.713	15.990	57564.000	25279.200	2	上海Ａ股	B882855418	3600	1			0	0.00	0.00	
603027	千禾味业	3300.00	0.00	0	-3471.670	43.863	-2.401	42.810	141273.000	144747.900	2	上海Ａ股	B882855418	3300	1			0	0.00	0.00	
603232	格尔软件	5400.00	0.00	0	15474.270	40.001	7.172	42.870	231498.000	216005.400	2	上海Ａ股	B882855418	5400	1			0	0.00	0.00	
