标题：资金股票
营业部名称：华泰证券(243)
股东：鸣石量化20号
资金余额：1481829.72 	 可取金额：1481829.72
冻结金额：0.00 	 股票市值：12450866.55
可用余额：1481829.72 	 总 资 产：13937637.54

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
603187	海容冷链	400	400	0	36.769	36.819	36.080	-2.01	-295.321	14432.000	上海Ａ	B882396244	0	
603197	保隆科技	400	400	0	28.927	28.969	29.970	3.46	399.972	11988.000	上海Ａ	B882396244	0	
603218	日月股份	200	200	0	16.693	16.735	17.240	3.02	100.883	3448.000	上海Ａ	B882396244	0	
603229	奥翔药业	100	100	0	65.652	65.769	64.700	-1.63	-106.799	6470.000	上海Ａ	B882396244	0	
603258	电魂网络	400	400	0	48.383	48.445	47.980	-0.96	-185.776	19192.000	上海Ａ	B882396244	0	
603259	药明康德	40	40	0	53.171	53.350	89.180	67.32	1431.721	3567.200	上海Ａ	B882396244	0	
603283	赛腾股份	200	200	0	38.976	39.041	47.200	20.91	1630.171	9440.000	上海Ａ	B882396244	0	
603301	振德医疗	320	320	0	27.057	27.100	45.700	68.67	5945.844	14624.000	上海Ａ	B882396244	0	
603313	梦百合	100	100	0	24.825	24.900	24.160	-2.98	-73.964	2416.000	上海Ａ	B882396244	0	
603378	亚士创能	700	700	0	42.922	42.973	43.370	0.92	277.634	30359.000	上海Ａ	B882396244	0	
603385	惠达卫浴	300	300	0	13.791	13.822	14.700	6.36	263.202	4410.000	上海Ａ	B882396244	0	
603387	基蛋生物	100	100	0	34.756	34.842	36.600	5.05	175.667	3660.000	上海Ａ	B882396244	0	
603393	新天然气	100	100	0	35.957	36.044	37.260	3.38	121.499	3726.000	上海Ａ	B882396244	0	
603429	集友股份	200	200	0	30.009	30.065	31.700	5.44	326.733	6340.000	上海Ａ	B882396244	0	
603456	九洲药业	300	300	0	23.219	23.259	28.250	21.47	1495.655	8475.000	上海Ａ	B882396244	0	
603486	科沃斯	1100	1100	0	27.606	27.639	31.080	12.45	3781.058	34188.000	上海Ａ	B882396244	0	
603501	韦尔股份	500	500	0	157.246	157.432	197.800	25.64	20160.298	98900.000	上海Ａ	B882396244	0	
603506	南都物业	2500	2500	0	25.307	25.337	33.400	31.82	20133.970	83500.000	上海Ａ	B882396244	0	
