业务日期,机构代码,机构名称,产品编号,产品名称,账户编号,账户名称,组合代码,组合名称,交易市场,证券代码,证券名称,T0指令可用,T0交易可用,持仓数量,盈亏成本,盈亏成本价,买入成本价,实时盈亏,买入成本,浮动盈亏,浮盈率,实现盈亏,市值,市值/产品净资产(%),价格|最新价,价格|昨收价,价格|市值计算价,价格|公允价,价格|市均价,交易信息|当日买量,交易信息|当日卖量,交易信息|净买量,交易信息|当日买金额,交易信息|当日卖金额,交易信息|净买金额,交易信息|当日买入价,交易信息|当日卖出价,交易信息|预买数量,交易信息|预卖数量,当日调整数量,待上市|网上新股,待上市|网下新股,待上市|红股,待上市|配股,配股数量,非流通数量,清算冻结数量,投保标识,持仓方向,投资类型,资金账号,股东账户,托管席位,证券内码,质押数量,盯市持仓均价,逐笔持仓均价
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300084,海默科技,100,100,100,450.05000000000001,4.5004999999999997,4.5004999999999997,-4.0500000000000114,450.05000000000001,-4.0500000000000114,-0.90807174887892628,0,446,0.00050740114866311631,4.46,4.5,4.46,0,4.4248093300000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300084SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300086,康芝药业,7200,7200,7200,45788.620000000003,6.3595305555555557,6.3595305555555557,16851.379999999997,45788.620000000003,16851.379999999997,26.901947637292462,0,62640,0.071263694960218837,8.6999999999999993,7.9100000000000001,8.6999999999999993,0,8.5124084500000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300086SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300088,长信科技,13400,13400,13400,175606.97,13.10499776119403,12.62069328358209,-18826.970000000001,169117.29000000001,-12337.290000000008,-7.8691733639494892,-6489.6800000000003,156780,0.17836401813319142,11.699999999999999,12.390000000000001,11.699999999999999,0,11.81273801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300088SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300089,文化长城,1200,1200,1200,4921.71,4.1014249999999999,4.2457500000000001,346.28999999999996,5094.8999999999996,173.10000000000036,3.2858769931662937,173.19,5268,0.0059932494420567193,4.3899999999999997,4.4299999999999997,4.3899999999999997,0,4.3644063900000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300089SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300092,科新机电,4000,4000,4000,37495.199999999997,9.3737999999999992,9.3737999999999992,-1495.1999999999971,37495.199999999997,-1495.1999999999971,-4.1533333333333253,0,36000,0.040956146528861405,9,9.2899999999999991,9,0,9.1529016500000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300092SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300093,金刚玻璃,600,600,600,7759.3800000000001,12.9323,12.992783333333334,220.61999999999989,7795.6700000000001,184.32999999999993,2.3098997493734328,36.289999999999999,7980,0.0090786124805642791,13.300000000000001,13.15,13.300000000000001,0,13.112186579999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300093SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300094,国联水产,4000,4000,4000,17294.560000000001,4.3236400000000001,4.3743400000000001,-54.56000000000131,17497.360000000001,-257.36000000000058,-1.4928074245939709,202.80000000000001,17240,0.019613443504376965,4.3099999999999996,4.3799999999999999,4.3099999999999996,0,4.3163589699999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300094SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300095,华伍股份,2000,2000,2000,21160.629999999997,10.580314999999999,11.183549999999999,2539.3700000000026,22367.099999999999,1332.9000000000015,5.6240506329113993,1206.47,23700,0.026962796464833759,11.85,10.77,11.85,0,11.59737644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300095SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300096,易联众,5500,5500,5500,55529.650000000001,10.096299999999999,10.096299999999999,-859.65000000000146,55529.650000000001,-859.65000000000146,-1.5724346076458779,0,54670,0.062196459187023698,9.9399999999999995,10.49,9.9399999999999995,0,10.02810844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300096SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300097,智云股份,500,500,500,6559.79,13.119579999999999,13.119579999999999,-39.789999999999964,6559.79,-39.789999999999964,-0.61027607361963132,0,6520,0.0074176132046715661,13.039999999999999,13.5,13.039999999999999,0,13.16802936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300097SZ,0,0,0
