时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:30:57.089    1080313045      300685          701 担保品卖出  300             68.7700         已撤            
09:30:57.089    1100309746      002745          701 担保品卖出  5100            15.4500         已成            
09:30:57.089    1120312845      002745          701 担保品卖出  5100            15.4500         已成            
09:30:57.089    1180309845      300219          701 担保品卖出  400             9.4400          已撤            
09:30:57.102    1000311148      300677          701 担保品卖出  100             113.6900        已成            
09:30:57.102    1140308547      002940          701 担保品卖出  1700            53.8400         已撤            
09:30:57.102    1160312445      300677          701 担保品卖出  100             113.6900        已成            
09:30:57.102    1180309846      603690          700 担保品买入  1100            38.0500         已成            
09:30:57.323    1020309945      300037          700 担保品买入  500             51.4900         已撤            
09:30:57.323    1040311148      300573          701 担保品卖出  300             145.8300        已撤            
09:30:57.323    1060310145      300573          701 担保品卖出  300             145.8300        已撤            
09:30:57.938    1160312446      300390          700 担保品买入  2100            14.1900         已撤            
09:30:57.938    1180309847      300390          700 担保品买入  2100            14.1900         已撤            
09:30:58.430    1020309946      300357          701 担保品卖出  300             59.8500         已撤            
09:30:58.552    1040311149      300357          701 担保品卖出  300             59.8500         已撤            
09:30:58.649    1060310146      600330          700 担保品买入  9600            10.1900         已撤            
09:30:58.862    1080313047      002050          700 担保品买入  200             21.8800         已撤            
09:30:59.033    1120312847      600812          700 担保品买入  3600            12.3400         已撤            
09:30:59.085    1140308549      603666          701 担保品卖出  100             106.4600        已撤            
09:30:59.085    1160312447      603666          701 担保品卖出  100             106.4600        已撤            
09:30:59.085    1180309848      603506          701 担保品卖出  700             29.3800         已撤            
09:30:59.248    1000311150      002059          700 担保品买入  200             4.7200          已成            
09:30:59.248    1020309947      000011          700 担保品买入  4200            15.6300         已成            
09:30:59.428    1060310147      601028          700 担保品买入  5400            9.6000          已撤            
09:30:59.428    1080313048      601028          700 担保品买入  5400            9.6000          已撤            
09:30:59.503    1100309749      603179          700 担保品买入  700             22.2400         已成            
09:30:59.503    1120312848      603179          700 担保品买入  700             22.2400         已成            
09:30:59.838    1140308550      000049          700 担保品买入  700             53.5000         已撤            
09:30:59.874    1160312448      000049          700 担保品买入  700             53.5000         已撤            
09:31:00.028    1000311151      002352          700 担保品买入  1100            55.7400         已撤            
09:31:00.028    1020309948      002371          700 担保品买入  100             165.8900        已成            
09:31:00.028    1040311151      002371          700 担保品买入  100             165.8900        已成            
09:31:00.028    1060310148      603987          701 担保品卖出  3000            15.0600         已撤            
09:31:00.028    1080313049      603987          701 担保品卖出  3000            15.0600         已撤            
09:31:00.028    1180309849      002352          700 担保品买入  1100            55.7400         已撤            
09:31:00.065    1040311152      002461          700 担保品买入  2100            9.2200          已撤            
09:31:00.067    1040311153      300220          701 担保品卖出  200             49.9800         已成            
09:31:00.072    1020309949      002555          701 担保品卖出  300             41.8400         已成            
09:31:00.072    1180309850      002308          700 担保品买入  4700            7.0200          已成            
09:31:00.074    1040311154      300010          701 担保品卖出  700             17.9700         已成            
09:31:00.076    1020309950      603707          700 担保品买入  100             58.3300         已成            
09:31:00.076    1180309851      300558          701 担保品卖出  900             124.1200        已成            
09:31:00.081    1060310149      002461          700 担保品买入  1700            9.2200          已撤            
09:31:00.083    1060310150      002947          700 担保品买入  400             58.2500         已撤            
09:31:00.083    1180309852      002918          701 担保品卖出  300             30.2700         已撤            
09:31:00.085    1020309951      002845          701 担保品卖出  600             22.9300         已撤            
09:31:00.085    1180309853      002723          700 担保品买入  300             18.5800         已成            
09:31:00.087    1060310151      300609          701 担保品卖出  1000            39.3200         已撤            
09:31:00.089    1000311152      002555          701 担保品卖出  300             41.8400         已成            
09:31:00.089    1160312450      300548          701 担保品卖出  600             57.2900         已成            
09:31:00.092    1080313050      002044          700 担保品买入  100             13.5300         已成            
09:31:00.094    1000311153      603707          700 担保品买入  100             58.3300         已成            
09:31:00.094    1080313051      300685          701 担保品卖出  1900            68.4400         已成            
09:31:00.094    1160312451      300252          701 担保品卖出  1500            9.4300          已撤            
09:31:00.096    1000311154      300391          701 担保品卖出  2700            12.9200         已成            
09:31:00.096    1160312452      300016          701 担保品卖出  2800            12.2800         已成            
09:31:00.101    1000311155      300573          701 担保品卖出  300             145.8600        已撤            
09:31:00.101    1080313052      300609          701 担保品卖出  1000            39.3200         已撤            
09:31:00.101    1140308552      300082          701 担保品卖出  1000            6.4800          已成            
09:31:00.102    1120312850      002605          700 担保品买入  1500            34.5600         已撤            
09:31:00.103    1140308553      300642          701 担保品卖出  200             51.6300         已撤            
09:31:00.104    1020309952      300280          700 担保品买入  700             48.1000         已撤            
09:31:00.104    1040311155      300280          700 担保品买入  200             48.1000         已撤            
09:31:00.104    1060310152      300482          701 担保品卖出  700             95.4500         已撤            
09:31:00.104    1080313053      002918          701 担保品卖出  300             30.2700         已撤            
09:31:00.104    1180309854      300396          700 担保品买入  3000            26.0200         已撤            
09:31:00.105    1140308554      300396          700 担保品买入  3000            26.0200         已撤            
09:31:00.106    1100309751      002402          700 担保品买入  1900            15.9800         已成            
09:31:00.106    1140308555      300010          701 担保品卖出  700             17.9700         已成            
09:31:00.107    1160312453      300357          701 担保品卖出  400             59.8500         已撤            
09:31:00.109    1120312851      300642          701 担保品卖出  200             51.6300         已成            
09:31:00.110    1100309752      002947          700 担保品买入  400             58.2500         已撤            
09:31:00.111    1100309753      300357          701 担保品卖出  400             59.8500         已撤            
09:31:00.112    1120312853      002745          701 担保品卖出  5000            15.4300         已成            
09:31:00.113    1100309754      300063          700 担保品买入  7300            6.9100          已撤            
09:31:00.132    1000311156      300677          701 担保品卖出  300             113.5700        已成            
09:31:00.132    1020309953      300677          701 担保品卖出  300             113.5700        已成            
09:31:00.132    1040311156      300482          701 担保品卖出  700             95.4500         已撤            
09:31:00.132    1080313054      000049          700 担保品买入  700             53.6500         已成            
09:31:00.132    1100309755      000049          700 担保品买入  700             53.6500         已成            
09:31:00.161    1000311157      603326          701 担保品卖出  200             18.9600         已撤            
09:31:00.161    1020309954      603181          700 担保品买入  400             20.9200         已撤            
09:31:00.161    1040311157      603181          700 担保品买入  400             20.9200         已撤            
09:31:00.161    1060310154      603666          701 担保品卖出  500             105.9400        已成            
09:31:00.161    1080313055      603666          701 担保品卖出  500             105.9400        已成            
09:31:00.161    1100309756      603881          700 担保品买入  500             94.2500         已撤            
09:31:00.161    1120312854      002375          700 担保品买入  3000            10.4800         已成            
09:31:00.161    1160312454      600812          700 担保品买入  5400            12.3700         已撤            
09:31:00.161    1180309855      600812          700 担保品买入  5400            12.3700         已撤            
09:31:00.163    1000311158      603429          701 担保品卖出  800             30.9500         已撤            
09:31:00.163    1020309955      601028          700 担保品买入  1900            9.6100          已撤            
09:31:00.163    1040311158      601028          700 担保品买入  1900            9.6100          已撤            
09:31:00.163    1060310155      002075          701 担保品卖出  15500           13.3200         已成            
09:31:00.163    1100309757      603987          701 担保品卖出  2500            15.0500         已撤            
09:31:00.163    1160312455      603179          700 担保品买入  600             22.2600         已成            
09:31:00.163    1180309856      603429          701 担保品卖出  800             30.9500         已撤            
09:31:00.165    1000311159      002833          701 担保品卖出  200             25.4600         已撤            
09:31:00.165    1020309956      603811          700 担保品买入  1900            27.7000         已成            
09:31:00.165    1140308556      002317          700 担保品买入  4700            14.0800         已撤            
09:31:00.165    1180309857      300396          700 担保品买入  1600            26.0300         已撤            
09:31:00.166    1040311159      603811          700 担保品买入  1900            27.7000         已成            
09:31:00.167    1140308557      603179          700 担保品买入  600             22.2600         已成            
09:31:00.172    1100309758      002947          700 担保品买入  900             58.3200         已撤            
09:31:00.172    1120312855      603881          700 担保品买入  500             94.2500         已撤            
09:31:00.172    1160312456      002555          701 担保品卖出  300             42.0700         已撤            
09:31:00.173    1140308558      002555          701 担保品卖出  300             42.0700         已撤            
09:31:00.175    1080313056      603987          701 担保品卖出  2500            15.0500         已撤            
09:31:00.175    1140308559      603116          701 担保品卖出  8300            8.4000          已成            
09:31:00.176    1120312856      002481          701 担保品卖出  16000           17.1900         已撤            
09:31:00.177    1080313057      300357          701 担保品卖出  500             59.7300         已成            
09:31:00.181    1000311160      300453          701 担保品卖出  3900            18.6600         已成            
09:31:00.181    1060310156      300357          701 担保品卖出  500             59.7300         已成            
09:31:00.181    1120312857      603707          700 担保品买入  600             58.5800         已成            
09:31:00.181    1180309858      300453          701 担保品卖出  3900            18.6600         已成            
09:31:00.183    1020309957      300609          701 担保品卖出  1000            39.1700         已撤            
09:31:00.190    1040311160      300677          701 担保品卖出  100             113.6900        已成            
09:31:00.195    1160312457      300423          701 担保品卖出  800             12.5800         已撤            
09:31:00.203    1060310157      002670          700 担保品买入  2900            9.4200          已成            
09:31:00.208    1080313058      603301          701 担保品卖出  2000            46.4700         已成            
09:31:00.224    1140308560      603301          701 担保品卖出  4700            46.4700         已成            
09:31:03.079    1000311161      603181          700 担保品买入  400             20.9200         已撤            
09:31:03.079    1160312458      600812          700 担保品买入  5400            12.3700         已撤            
09:31:03.079    1180309859      603181          700 担保品买入  400             20.9200         已撤            
09:31:03.241    1020309958      000708          700 担保品买入  100             17.1300         已撤            
09:31:03.241    1040311161      000708          700 担保品买入  2000            17.1300         已撤            
09:31:03.289    1060310158      002258          701 担保品卖出  4500            17.5700         已成            
09:31:03.289    1080313059      000049          700 担保品买入  300             53.6500         已成            
09:31:03.289    1100309760      000049          700 担保品买入  300             53.6500         已成            
09:31:03.289    1120312859      002317          700 担保品买入  2800            14.1000         已撤            
09:31:03.289    1140308561      002317          700 担保品买入  2800            14.1000         已撤            
09:31:03.346    1000311162      002371          700 担保品买入  300             165.1600        已撤            
09:31:03.346    1160312459      000688          701 担保品卖出  1200            18.4200         已撤            
09:31:03.346    1180309860      603666          701 担保品卖出  200             106.4600        已撤            
09:31:03.471    1020309959      603881          700 担保品买入  500             94.3800         已撤            
09:31:03.471    1040311162      603881          700 担保品买入  500             94.3800         已撤            
09:31:03.482    1060310159      002555          701 担保品卖出  800             42.0900         已撤            
09:31:03.482    1080313060      002555          701 担保品卖出  800             42.0900         已撤            
09:31:03.547    1000311163      603179          700 担保品买入  300             22.2800         已成            
09:31:03.547    1100309761      600984          701 担保品卖出  400             21.8800         已撤            
09:31:03.547    1120312860      601028          700 担保品买入  300             9.6100          已撤            
09:31:03.547    1140308562      603429          701 担保品卖出  1100            30.9100         已撤            
09:31:03.547    1160312460      603429          701 担保品卖出  1100            30.9100         已撤            
09:31:03.547    1180309861      603179          700 担保品买入  300             22.2800         已成            
09:31:03.571    1020309960      603567          701 担保品卖出  100             12.3500         已撤            
09:31:03.627    1040311163      002791          700 担保品买入  800             88.1900         已撤            
09:31:03.627    1060310160      300316          700 担保品买入  400             23.8400         已成            
09:31:03.627    1080313061      600600          700 担保品买入  300             68.8200         已撤            
