冻结金额,可用,参考市值,资产
,5478329.0,,88106921.81
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
300310,宜通世纪,1900,1900,6.2312,-59.37,11780.0,6.2
300315,掌趣科技,0,3100,8.957,-300.6,27466.0,8.86
300316,晶盛机电,2900,2900,26.4988,-1272.38,75574.0,26.06
300322,硕贝德,200,200,16.5733,-14.66,3300.0,16.5
300323,华灿光电,0,4200,9.4759,12197.1,51996.0,12.38
300333,兆日科技,0,2000,10.6348,750.43,22020.0,11.01
300334,津膜科技,0,800,10.0548,276.14,8320.0,10.4
300335,迪森股份,1100,1100,5.5916,-133.71,6017.0,5.47
300337,银邦股份,0,5600,5.5266,2370.78,33320.0,5.95
300341,麦克奥迪,0,1100,9.8715,-100.6,10758.0,9.78
300344,太空智造,800,800,4.8216,30.72,3888.0,4.86
300348,长亮科技,0,3700,22.3144,2240.57,84804.0,22.92
300349,金卡智能,600,600,18.3076,-394.58,10590.0,17.65
300356,光一科技,1300,2500,6.6306,-376.47,16200.0,6.48
300357,我武生物,600,600,93.6327,-20323.63,35856.0,59.76
300359,全通教育,2700,3800,7.8145,-1385.13,28310.0,7.45
300360,炬华科技,0,200,10.4771,-55.41,2040.0,10.2
300365,恒华科技,0,1300,12.3975,354.26,16471.0,12.67
300368,汇金股份,0,19600,17.8952,93389.68,444136.0,22.66
300369,绿盟科技,0,900,21.4309,-144.78,19143.0,21.27
300374,中铁装配,2000,2000,18.1389,3862.26,40140.0,20.07
300377,赢时胜,0,2800,11.093,-372.52,30688.0,10.96
300378,鼎捷软件,0,1500,31.9449,-1267.37,46650.0,31.1
300380,安硕信息,200,300,22.0852,-115.56,6510.0,21.7
300381,溢多利,300,300,14.0961,-34.84,4194.0,13.98
300382,斯莱克,0,1400,8.855,-370.96,12026.0,8.59
300384,三联虹普,0,200,19.8097,-21.93,3940.0,19.7
300385,雪浪环境,0,1400,8.2248,105.33,11620.0,8.3
300386,飞天诚信,0,3100,28.2215,7652.43,95139.0,30.69
300387,富邦股份,1600,1600,10.029,545.57,16592.0,10.37
300389,艾比森,0,100,10.9002,-10.02,1080.0,10.8
300391,康跃科技,0,1300,18.8705,311.32,24843.0,19.11
300393,中来股份,3000,3000,8.5734,-280.13,25440.0,8.48
300395,菲利华,500,500,43.8935,1103.24,23050.0,46.1
300397,天和防务,0,2300,25.2953,-748.17,57431.0,24.97
300401,花园生物,2800,2800,17.86,-2800.0,47208.0,16.86
300403,汉宇集团,600,1200,6.1152,-90.22,7248.0,6.04
300405,科隆股份,0,1800,7.4488,632.14,14040.0,7.8
300406,九强生物,1600,1600,22.8376,-140.13,36400.0,22.75
300407,凯发电气,0,300,8.8089,99.33,2742.0,9.14
300408,三环集团,100,100,28.6724,-69.24,2798.0,27.98
300410,正业科技,3800,3800,8.8514,-1525.28,32110.0,8.45
