更新时间        委托时间        委托编号        委托标识        证券代码        交易业务        委托数量        成交数量        撤单数量        委托价格        成交金额                执行状态        执行信息
15:07:34.677    11:14:32.220    205356101       22286           002338          700 担保品买入  1000            0               0               28.6100         0.0000                  废单            可用金额不足，可用金额2223.740 ，预留金额10.000，实际申请使用 28614.860
15:07:34.677    11:14:32.221    209350227       22287           002382          700 担保品买入  400             0               0               29.3000         0.0000                  废单            可用金额不足，可用金额2223.740 ，预留金额10.000，实际申请使用 11721.990
15:07:34.677    11:14:32.335    229357493       22288           300658          700 担保品买入  200             0               0               29.7100         0.0000                  废单            可用金额不足，可用金额3113.690 ，预留金额10.000，实际申请使用 5943.010
15:07:34.678    11:14:37.735    233350815       22298           600233          700 担保品买入  500             0               0               16.3800         0.0000                  废单            可用金额不足，可用金额883.240 ，预留金额10.000，实际申请使用 8191.390
15:07:34.678    11:14:37.837    209350238       22299           300206          700 担保品买入  100             0               0               17.7900         0.0000                  废单            可用金额不足，可用金额883.240 ，预留金额10.000，实际申请使用 1779.310
15:07:34.678    11:14:37.933    217352240       22300           300227          700 担保品买入  100             0               0               9.8600          0.0000                  废单            可用金额不足，可用金额883.240 ，预留金额10.000，实际申请使用 986.170
15:07:34.678    11:14:37.933    221357836       22301           300502          700 担保品买入  300             0               0               57.9500         0.0000                  废单            可用金额不足，可用金额883.240 ，预留金额10.000，实际申请使用 17387.960
15:07:34.678    11:14:38.033    233350816       22302           002022          700 担保品买入  1200            0               0               17.5200         0.0000                  废单            可用金额不足，可用金额883.240 ，预留金额10.000，实际申请使用 21027.570
15:07:34.680    11:15:00.332    213355862       22352           002022          700 担保品买入  2100            0               0               17.4900         0.0000                  废单            可用金额不足，可用金额15096.740 ，预留金额10.000，实际申请使用 36735.240
15:07:34.680    11:15:00.234    237357759       22349           300206          700 担保品买入  3000            0               0               17.7900         0.0000                  废单            可用金额不足，可用金额15096.740 ，预留金额10.000，实际申请使用 53379.080
15:07:34.680    11:15:00.524    205356117       22355           300658          700 担保品买入  200             0               0               29.7400         0.0000                  废单            可用金额不足，可用金额3694.400 ，预留金额10.000，实际申请使用 5949.010
15:07:34.680    11:15:16.232    233350856       22371           002079          700 担保品买入  5100            0               0               12.8500         0.0000                  废单            可用金额不足，可用金额29896.130 ，预留金额10.000，实际申请使用 65546.140
15:07:34.680    11:15:16.324    201348812       22375           002382          700 担保品买入  600             0               0               29.3200         0.0000                  废单            可用金额不足，可用金额6806.200 ，预留金额10.000，实际申请使用 17594.990
