时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
10:32:52.594    214197878       10132           603722          100 证券买入    200             45.3300         已成
10:32:52.689    230200489       10133           300047          100 证券买入    1000            8.4200          已成
10:32:57.689    234192982       10134           600161          101 证券卖出    200             51.7900         已成
10:32:57.791    210193433       10135           002346          101 证券卖出    500             11.1500         已成
10:32:57.890    230200497       10136           002920          101 证券卖出    200             72.4000         已成
10:32:57.989    206198620       10137           002190          101 证券卖出    400             32.6900         已撤
10:32:58.090    218195587       10138           300416          101 证券卖出    900             29.5500         已撤
10:32:58.198    202190061       10139           002851          101 证券卖出    300             28.8300         已成
10:32:58.307    210193434       10140           002949          101 证券卖出    1200            34.8300         已成
10:32:58.388    234192983       10141           300280          101 证券卖出    100             46.4300         已成
10:32:58.490    202190062       10142           002507          101 证券卖出    300             39.3800         已成
10:32:58.594    214197884       10143           002641          101 证券卖出    600             8.8700          已成
10:32:58.697    230200499       10144           300426          100 证券买入    600             9.8500          部撤
10:32:58.788    206198621       10145           603718          100 证券买入    900             43.9200         已成
10:32:58.892    222202134       10146           002821          100 证券买入    100             236.8800        已成
10:32:58.991    230200500       10147           300248          100 证券买入    500             14.0000         已成
10:32:59.090    238199309       10148           300148          100 证券买入    500             5.7900          已成
10:32:59.187    214197885       10149           600098          100 证券买入    1700            5.9900          已成
10:32:59.290    230200501       10150           300215          100 证券买入    2100            9.1500          已成
10:32:59.389    210193435       10151           300596          100 证券买入    600             38.4100         已成
10:32:59.490    222202135       10152           600885          100 证券买入    100             48.3200         已成
10:32:59.592    214197886       10153           603722          100 证券买入    200             45.3300         已成
10:32:59.689    230200503       10154           000048          100 证券买入    100             25.6200         已成
10:32:59.789    210193436       10155           600496          100 证券买入    1000            6.2200          已成
10:32:59.889    222202137       10156           300047          100 证券买入    2500            8.4300          已成
10:32:59.990    206198623       10157           000333          100 证券买入    400             72.5600         已成
10:33:04.990    218195597       10158           600098          100 证券买入    1000            5.9800          已撤
10:33:09.990    222202149       10159           002190          101 证券卖出    400             32.4200         已成
10:33:10.089    230200518       10160           603223          100 证券买入    100             14.5000         已成
10:33:10.306    210193444       10161           002372          100 证券买入    1200            15.0500         已成
10:33:10.588    210193445       10162           600098          100 证券买入    4900            5.9900          已成
10:33:15.388    202190080       10163           600098          100 证券买入    700             5.9900          已撤
10:33:15.488    206198645       10164           002372          100 证券买入    1100            15.0600         已撤
10:33:15.588    226190435       10165           300596          100 证券买入    300             38.5900         已撤
10:33:15.692    202190081       10166           300601          100 证券买入    500             239.3900        已成
10:33:20.687    234193016       10167           300280          101 证券卖出    500             46.3300         已成
10:33:20.787    214197909       10168           300206          101 证券卖出    500             22.8300         已成
10:33:20.887    222202164       10169           002372          100 证券买入    2100            15.0800         已成
10:33:20.988    238199340       10170           600098          100 证券买入    1200            5.9900          已撤
10:33:21.087    222202165       10171           300596          100 证券买入    100             38.7000         已撤
10:33:21.188    230200531       10172           600328          100 证券买入    700             8.6800          已成
10:33:21.494    210193464       10173           300426          100 证券买入    100             9.8600          已成
10:33:26.288    214197917       10174           300206          101 证券卖出    400             22.8600         已成
10:33:26.387    222202172       10175           300280          101 证券卖出    100             46.2900         已成
10:33:26.488    230200538       10176           600328          100 证券买入    500             8.6700          已成
10:33:26.589    238199349       10177           601231          100 证券买入    3900            24.6600         已成
10:33:26.687    206198666       10178           300426          100 证券买入    700             9.8500          已撤
10:33:26.788    218195624       10179           603718          100 证券买入    800             44.0600         已成
10:33:26.887    238199350       10180           300148          100 证券买入    200             5.7900          已成
10:33:26.988    214197920       10181           600098          100 证券买入    1200            5.9900          已撤
10:33:27.087    226190456       10182           002372          100 证券买入    3600            15.1000         已撤
10:33:27.187    214197921       10183           300596          100 证券买入    400             38.7600         已成
10:33:32.198    234193032       10184           002045          101 证券卖出    100             9.3000          已成
10:33:32.287    210193477       10185           002641          101 证券卖出    400             8.8800          已成
10:33:32.386    226190464       10186           300725          101 证券卖出    100             118.3400        已成
10:33:32.489    230200547       10187           300206          101 证券卖出    200             22.8800         已撤
10:33:32.589    238199363       10188           300233          101 证券卖出    1300            35.7100         已成
10:33:32.688    214197931       10189           300280          101 证券卖出    100             46.3200         已撤
10:33:32.787    226190465       10190           002714          100 证券买入    700             95.7200         已成
10:33:32.887    218195636       10191           300426          100 证券买入    2200            9.8600          已成
10:33:32.987    226190466       10192           002821          100 证券买入    100             237.3200        已成
10:33:33.087    210193479       10193           603718          100 证券买入    300             44.1100         已撤
10:33:33.191    210193480       10194           002372          100 证券买入    2200            15.1300         已撤
10:33:33.288    230200550       10195           300148          100 证券买入    2000            5.7900          已成
10:33:33.387    226190468       10196           300189          100 证券买入    15700           4.6400          已撤
10:33:33.488    214197933       10197           600098          100 证券买入    1900            5.9900          已成
10:33:33.587    222202181       10198           600885          100 证券买入    300             48.3600         已成
10:33:33.688    234193035       10199           603722          100 证券买入    200             45.4100         已成
10:33:33.795    214197934       10200           300596          100 证券买入    100             38.6700         已撤
10:33:33.888    222202182       10201           600496          100 证券买入    3800            6.2100          已撤
10:33:33.989    202190107       10202           002216          100 证券买入    1900            31.1600         已成
10:33:34.087    218195639       10203           603976          100 证券买入    500             80.6000         已成
10:33:34.187    238199366       10204           002706          100 证券买入    200             26.2000         已成
10:33:39.189    238199373       10205           300416          101 证券卖出    900             29.5400         已成
10:33:39.288    226190470       10206           002851          101 证券卖出    300             28.8500         已成
10:33:39.387    206198682       10207           300280          101 证券卖出    100             46.3100         已撤
10:33:39.487    214197942       10208           000672          101 证券卖出    2000            28.9300         已成
10:33:39.587    222202192       10209           603596          101 证券卖出    200             39.8600         已成
10:33:39.687    234193038       10210           002641          101 证券卖出    1300            8.8800          已成
10:33:39.787    202190113       10211           300206          101 证券卖出    100             22.8500         已成
10:33:39.886    218195646       10212           002920          101 证券卖出    100             72.4300         已成
10:33:39.988    234193039       10213           600885          100 证券买入    100             48.3600         已成
10:33:40.087    210193488       10214           603722          100 证券买入    500             45.4300         已成
10:33:40.189    218195647       10215           000048          100 证券买入    200             25.6100         已成
10:33:40.589    202190115       10216           000930          100 证券买入    800             9.6000          已成
10:33:40.589    206198683       10217           600496          100 证券买入    4400            6.2200          已成
10:33:40.589    210193489       10218           603976          100 证券买入    700             80.5800         已成
