时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
10:33:39.295    229372718       10155           603823          101 证券卖出    200             19.6500         已成
10:33:39.393    221373005       10156           600570          101 证券卖出    1600            97.9100         已成
10:33:39.497    229372719       10157           603659          101 证券卖出    200             102.2000        已成
10:33:39.591    205371088       10158           002925          101 证券卖出    100             57.5100         已成
10:33:39.697    205371089       10159           601699          101 证券卖出    2000            5.9300          已成
10:33:39.801    221373007       10160           000988          101 证券卖出    2000            23.6400         已成
10:33:39.893    213371048       10161           000636          100 证券买入    6400            28.6300         已成
10:33:39.993    205371091       10162           002241          100 证券买入    2900            26.3900         已成
10:33:40.092    209365877       10163           002605          100 证券买入    100             34.3700         已成
10:33:40.195    233366541       10164           300750          100 证券买入    100             167.8800        已成
10:33:40.300    201364315       10165           600859          100 证券买入    200             40.4900         已成
10:33:40.396    217367907       10166           600521          100 证券买入    300             32.2100         已成
10:33:45.392    229372731       10167           000988          101 证券卖出    1000            23.6500         已成
10:33:45.495    205371101       10168           002460          101 证券卖出    300             55.6400         已成
10:33:45.699    237372805       10169           603060          101 证券卖出    1800            18.7000         已成
10:33:45.793    205371102       10170           603823          101 证券卖出    200             19.6500         已成
10:33:45.900    229372733       10171           002075          101 证券卖出    1000            13.3100         已成
10:33:45.993    205371103       10172           002409          101 证券卖出    600             48.0000         已成
10:33:46.093    225365386       10173           600570          101 证券卖出    200             97.9100         已成
10:33:46.193    233366550       10174           603825          101 证券卖出    200             32.7600         已成
10:33:46.295    205371104       10175           300404          101 证券卖出    800             14.9700         已成
10:33:46.396    225365387       10176           603659          101 证券卖出    100             101.9900        已成
10:33:46.492    201364325       10177           603658          101 证券卖出    100             173.4300        已撤
10:33:46.593    225365388       10178           002925          101 证券卖出    100             57.5200         已成
10:33:46.694    201364326       10179           600859          100 证券买入    200             40.4000         已成
10:33:46.805    237372807       10180           000636          100 证券买入    5200            28.6200         已成
10:33:46.893    205371105       10181           002129          100 证券买入    4900            20.9400         已成
10:33:46.993    213371063       10182           002241          100 证券买入    1300            26.3900         已成
10:33:47.091    221373019       10183           002605          100 证券买入    200             34.3700         已成
10:33:47.193    229372734       10184           300750          100 证券买入    200             167.7000        已成
10:33:47.292    201364327       10185           600521          100 证券买入    600             32.2200         已成
10:33:52.296    205371122       10186           601231          101 证券卖出    900             21.4000         已成
10:33:52.398    221373034       10187           002025          101 证券卖出    700             33.6300         已撤
10:33:52.497    237372827       10188           603060          101 证券卖出    700             18.7000         已成
10:33:52.596    205371123       10189           603823          101 证券卖出    1100            19.6100         已成
10:33:52.694    213371079       10190           002075          101 证券卖出    1800            13.3400         已成
10:33:52.793    221373035       10191           002409          101 证券卖出    400             48.0100         已成
10:33:52.894    229372751       10192           600570          101 证券卖出    200             97.8100         已成
10:33:52.993    237372828       10193           603825          101 证券卖出    700             32.8700         已撤
10:33:53.096    225365402       10194           002951          101 证券卖出    700             17.6000         已成
10:33:53.197    213371081       10195           300404          101 证券卖出    200             14.9700         已成
10:33:53.293    225365403       10196           603659          101 证券卖出    100             101.7500        已成
10:33:53.393    233366565       10197           603658          101 证券卖出    100             173.4300        已撤
10:33:53.493    229372752       10198           002925          101 证券卖出    100             57.4900         已成
10:33:53.593    225365404       10199           601699          101 证券卖出    300             5.9200          已成
