冻结金额,可用,参考市值,资产
5497817.53,5924878.28,197849424.13,203775014.65
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
601137,博威合金,43500,43500,15.6227,-72327.92,607260.0,13.96
601168,西部矿业,48500,48500,8.0312,-19943.07,369570.0,7.62
601615,明阳智能,7200,7200,15.6133,-7007.6,105408.0,14.64
601799,星宇股份,3600,3600,164.9438,-193.71,593604.0,164.89
601801,皖新传媒,15200,15200,5.8803,4859.08,94240.0,6.2
601858,中国科传,21755,21755,10.6196,-17178.37,213851.65,9.83
601865,福莱特,3700,3700,23.1776,-3913.03,81844.0,22.12
601869,长飞光纤,2100,2100,31.6411,-2333.28,64113.0,30.53
601949,中国出版,207700,207700,6.2589,-103617.36,1196352.0,5.76
603056,德邦股份,7000,7000,16.5692,-414.35,115570.0,16.51
603060,国检集团,12000,12000,23.9482,-18938.39,268440.0,22.37
603179,新泉股份,5700,5700,23.981,30489.35,167181.0,29.33
603185,上机数控,17800,17800,65.1682,-106589.33,1053404.0,59.18
603186,华正新材,19700,19700,52.3678,-242660.64,788985.0,40.05
603208,江山欧派,4300,8600,137.9157,-57497.11,1128578.0,131.23
603225,新凤鸣,4100,4100,12.1886,-3028.44,46945.0,11.45
603228,景旺电子,46800,46800,36.18,-112319.45,1580904.0,33.78
603233,大参林,8500,8500,72.4343,62608.73,678300.0,79.8
603238,诺邦股份,14200,14200,43.3495,-63892.92,551670.0,38.85
603297,永新光学,13000,13000,42.6644,-5647.48,548990.0,42.23
603298,杭叉集团,55700,105400,15.8191,-45226.01,1622106.0,15.39
603317,天味食品,1800,1800,-10.3391,143692.33,125082.0,69.49
603328,依顿电子,9800,9800,10.4002,-4510.37,97412.0,9.94
603355,莱克电气,2000,2000,27.4093,1841.5,56660.0,28.33
603379,三美股份,2200,2200,23.1944,-2935.7,48092.0,21.86
603416,信捷电气,0,13400,80.4181,-15920.25,1061682.0,79.23
603444,吉比特,1100,1100,628.4519,-4259.14,687038.0,624.58
603486,科沃斯,4200,4200,39.8543,-7158.15,160230.0,38.15
603501,韦尔股份,15800,15800,224.5176,-867698.57,2679680.0,169.6
603515,欧普照明,4000,4000,29.5497,-358.85,117840.0,29.46
603528,多伦科技,10100,10100,21.0685,-103206.95,109585.0,10.85
603556,海兴电力,29400,29400,15.1665,-13421.34,432474.0,14.71
603566,普莱柯,1400,1400,91.4997,-91699.56,36400.0,26.0
603568,伟明环保,4800,4800,21.9165,17680.8,122880.0,25.6
603583,捷昌驱动,10500,10500,64.0249,45938.45,718200.0,68.4
603605,珀莱雅,1020,1020,-126.2132,302892.24,174154.8,170.73999999999998
603638,艾迪精密,15400,15400,54.5878,92742.29,933394.0,60.61
603659,璞泰来,15300,15300,121.0068,-355981.81,1495422.0,97.74
603688,石英股份,50,50,1587.7658,-78139.79,1248.5,24.97
603699,纽威股份,91300,91300,16.0602,-25580.11,1440714.0,15.78
603712,七一二,5700,5700,51.3867,-10298.46,282606.0,49.58
603806,福斯特,5500,5500,66.6707,8301.01,374990.0,68.18
603810,丰山集团,39515,39515,37.5896,-36734.78,1448619.9,36.66
603816,顾家家居,4700,4700,67.5921,-20454.73,297228.0,63.24
603826,坤彩科技,87600,87600,31.6209,-317190.65,2452800.0,28.0
603868,飞科电器,1300,1300,58.3153,-799.93,75010.0,57.7
603881,数据港,4400,4400,79.8081,13824.38,364980.0,82.95
603882,金域医学,4600,4600,83.7398,97797.09,483000.0,105.0
603931,格林达,161,161,21.38,4543.42,7985.6,49.6
603983,丸美股份,13000,13000,73.1667,12002.27,963170.0,74.09
605008,长鸿高科,378,378,10.54,3655.26,7639.38,20.21
605123,派克新材,106,106,30.33,1878.32,5093.3,48.050000000000004
605255,天普股份,211,211,12.66,1559.29,4230.55,20.05
